SN,Title,Price
1,Dell Inspiron 14 3501 - i3 1005G1 4GB 1TB Intel UHD Blue,"Rs. 61,900"
2,Dell Inspiron 15 3505 - AMD Ryzen™ 7 3700U 8GB 512SSD Radeon™ Vega 10 Graphics FHD WIN 10,"Rs. 98,020"
3,"Inspiron 14 5406 - i7-1165G7 8GB 512SSD NVIDIA® GeForce® MX330 2GB GDDR5 14""","Rs. 154,930"
4,"Dell Inspiron 14 5301 - i5-1135G7 8GB 512SSD NVIDIA® GeForce® MX350 2GB 13.3""","Rs. 130,470"
5,"Dell Inspiron 14 5301 - i7-1165G7 8GB 512SSD NVIDIA® GeForce® MX350 2GB 13.3""","Rs. 145,170"
6,Dell Inspiron 14 7306 - i5-1135G7 8GB 512SSD Intel® Iris® Xe Graphics,"Rs. 157,915"
7,Dell inspiron 7786 2 in 1 i7 8th gen/1tb+128ssd/MX 150 2gb nvidia/8gb ram/17.3 FHD 360 Touch /Silver,"Rs. 119,000"
8,"Dell XPS 13 /10th Gen/ Intel Core i5/ 8GB/256 SSD/13.3"" FHD","Rs. 135,550"
9,Dell 7472 Inspiron i5 / 8GB / 256GB SSD / 14FHD,"Rs. 92,000"
10,Dell 9380 XPS 13 i7 / 16GB / 512GB SSD / 13.3 4K Touch,"Rs. 178,000"
11,"Dell Vostro 3401 i3 10th Gen/ 4GB/ 1TB/ 14"" Laptop","Rs. 59,990"
12,"Dell Latitude 5300 Intel Core i5-8265U 1.60GHz, 8GB, 256GB SSD, 13.3""""FHD(1920x1080), Intel HD, 802.11ac+BT, Cam+Mic, Win 10Pro","Rs. 105,000"
13,"Dell Inspiron 3580 i5,8th Generation, 4GB RAM , 1TB HDD,15 LED Screen","Rs. 79,200"
14,"Dell Latitude 5310 Intel Core i5-10310U 1.70GHz, 8GB, 256GB SSD, 13.3""FHD(1920x1080), Intel HD, 802.11ac+BT, Cam+Mic, Win 10Pro","Rs. 115,000"
15,"Dell Inspiron 5402 (5000 Series)-i3 11th Gen /4 GB/ 128 GB/ 14 ""","Rs. 73,000"
16,"Dell IN5400 i3 10th Gen/4GB/ 128ssd/ 14"" HD X360 Laptop","Rs. 76,990"
17,"Dell Latitude 5300 Intel Core i5-8265U 1.60GHz, 16GB, 128GB SSD, 13.3""""FHD(1920x1080), touchscreen 2 in 1 Intel HD, 802.11ac+BT, Cam+Mic, Win 10Pro","Rs. 121,000"
18,"Dell Inspiron 7391/i7-10510U 10th Generation Processor/16 GB DDR4/512 GB SSD NvMeIntel UHD Graphics/14.0"" 4k Touch-Screen LED IPS Display/STYLUS PEN","Rs. 162,000"
19,Dell XPS 15 9500 -i7 10750H16GB512GB SSDWIN 10 HOMENVIDIA® GeForce® GTX 1650Ti 4GB GDDR6,"Rs. 320,000"
20,"DELL VOSTRO 3401 INTEL CORE I3-10TH GEN/4GB RAM/1TB HDD/14.0"" HD","Rs. 63,000"
21,Dell 7390 XPS13 i7 / 8GB / 256GB SSD / 13.3 FHD Touch,"Rs. 191,000"
22,"Dell Vostro 3401 i3 10th Gen 8GB Ram 1TB Hard Disk 14"" Laptop","Rs. 65,500"
23,Dell 7390 i7 / 8GB / 256 SSD / 13.3 FHD,"Rs. 185,000"
24,"Dell Vostro 3401 i3 10th Gen 4GB Ram 1TB Hard Disk 14"" Laptop","Rs. 62,800"
25,"Dell XPS 15 9500 - i7 10750H16GB512GB SSDWIN 10NVIDIA® GeForce® GTX 1650Ti 4GB GDDR6 15.6""","Rs. 280,000"
26,"Dell XPS 13 9300 - i7-1065G78GB512GB SSDWIN 10 15.6""","Rs. 255,000"
27,"Dell IN5400 i7 10th /8GB/512ssd/ 14"" X360 Laptop","Rs. 129,990"
28,Dell XPS 13 9300 - i5-1035G18GB512GB SSDWIN 10,"Rs. 215,000"
29,Dell Latitude 5310 2-in-1-i5-10210U-8GB-256GB 2 IN 1 (BE GENUINE BUY GENUINE),"Rs. 165,000"
30,Dell Inspiron 15 7501i5 10300H8GB512GB SSDWIN 10NVIDIA® GeForce GTX® 1650 Ti 4GB GDDR6FHD,"Rs. 155,000"
31,"Dell XPS 13 i7 , 7th Gen, 8GB RAM, 256GB SSD/13 Infinity Edge Touch Display","Rs. 220,500"
32,Dell Latitude 5310-i5-10210U-8GB-256GB (BE GENUINE BUY GENUINE),"Rs. 155,000"
33,Dell Inspiron 14 7306 - i7-1165G7 16GB 512SSD Intel® Iris® Xe Graphics,"Rs. 196,135"
34,"USB Type C to USB 3.0 Adapter, Thunderbolt 3 to USB Adapter for MacBook Pro 2019/2018, MacBook Air 2018, Pixel 3, Dell XPS, and More Type-C Devices,",Rs. 149
35,Dell Optical Mouse( BLACK),Rs. 169
36,Ironman ultron Vinyl Laptop Skin/Sticker/Cover/Decal Compatible for Any 15.6 17 Inches Laptop(Hp/Dell/Sony/Acer/Lenovo/Asus. Etc) Or Notebook.,Rs. 299
37,"Akekio UC20 USB C to USB C Cable 60W Fast Charging Type C Power Delivery Cable for MacBook Pro Air, iPad Pro 2020, Dell XPS 13 15, Pixel 4 XL, Chromebook,Samsung S20, Note 10 Plus, Nintendo Switch, 1.2m",Rs. 650
38,Dell USB Optical Wired Mouse M360,Rs. 149
39,"External Hard Disk Protective Case Cover For Seagate, Toshiba, Wd, Sony, Transcend, Samsung, Dell, Apple, Vu, Kingston",Rs. 350
40,Dell 2.4G Best Quality Wireless Optical Mouse,Rs. 450
